sampling,fs,classifier,data,cv f1,train f1,test f1,test auc,test precision,test recall,test accuracy,test precision (1),test recall (1),test f1 (1),test precision (0),test recall (0),test f1 (0)
b'raw',b'filter: anova',b'linear_svm',b'genomic_epidemiological',0.66709459416,1.0,0.680555555556,0.334821428571,0.604938271605,0.777777777778,0.777777777778,0.0,0.0,0.0,0.777777777778,1.0,0.875
b'down_sample',b'filter: anova',b'linear_svm',b'genomic_epidemiological',0.66709459416,1.0,0.680555555556,0.352678571429,0.604938271605,0.777777777778,0.777777777778,0.0,0.0,0.0,0.777777777778,1.0,0.875
b'up_sample',b'filter: anova',b'linear_svm',b'genomic_epidemiological',0.66709459416,1.0,0.680555555556,0.334821428571,0.604938271605,0.777777777778,0.777777777778,0.0,0.0,0.0,0.777777777778,1.0,0.875
b'smote_sample',b'filter: anova',b'linear_svm',b'genomic_epidemiological',0.66709459416,1.0,0.680555555556,0.334821428571,0.604938271605,0.777777777778,0.777777777778,0.0,0.0,0.0,0.777777777778,1.0,0.875
b'raw',b'filter: anova',b'rf',b'genomic_epidemiological',0.66709459416,1.0,0.680555555556,0.453125,0.604938271605,0.777777777778,0.777777777778,0.0,0.0,0.0,0.777777777778,1.0,0.875
b'down_sample',b'filter: anova',b'rf',b'genomic_epidemiological',0.696550643801,0.945634165352,0.700653594771,0.450892857143,0.707818930041,0.694444444444,0.694444444444,0.333333333333,0.375,0.352941176471,0.814814814815,0.785714285714,0.8
b'up_sample',b'filter: anova',b'rf',b'genomic_epidemiological',0.66709459416,1.0,0.680555555556,0.477678571429,0.604938271605,0.777777777778,0.777777777778,0.0,0.0,0.0,0.777777777778,1.0,0.875
b'smote_sample',b'filter: anova',b'rf',b'genomic_epidemiological',0.681781544802,1.0,0.680555555556,0.388392857143,0.604938271605,0.777777777778,0.777777777778,0.0,0.0,0.0,0.777777777778,1.0,0.875
b'raw',b'filter: anova',b'knn',b'genomic_epidemiological',0.66709459416,0.963740392809,0.680555555556,0.544642857143,0.604938271605,0.777777777778,0.777777777778,0.0,0.0,0.0,0.777777777778,1.0,0.875
b'down_sample',b'filter: anova',b'knn',b'genomic_epidemiological',0.66709459416,0.992919653502,0.680555555556,0.511160714286,0.604938271605,0.777777777778,0.777777777778,0.0,0.0,0.0,0.777777777778,1.0,0.875
b'up_sample',b'filter: anova',b'knn',b'genomic_epidemiological',0.66709459416,1.0,0.680555555556,0.546875,0.604938271605,0.777777777778,0.777777777778,0.0,0.0,0.0,0.777777777778,1.0,0.875
b'smote_sample',b'filter: anova',b'knn',b'genomic_epidemiological',0.0876095056622,0.0876458752515,0.0808080808081,0.5,0.0493827160494,0.222222222222,0.222222222222,0.222222222222,1.0,0.363636363636,0.0,0.0,0.0
b'raw',b'wrapper: rfe_lr',b'linear_svm',b'genomic_epidemiological',0.653577808135,1.0,0.703427719821,0.40625,0.686868686869,0.75,0.75,0.333333333333,0.125,0.181818181818,0.787878787879,0.928571428571,0.852459016393
b'down_sample',b'wrapper: rfe_lr',b'linear_svm',b'genomic_epidemiological',0.588223611038,0.906652167909,0.612511671335,0.455357142857,0.659977703456,0.583333333333,0.583333333333,0.230769230769,0.375,0.285714285714,0.782608695652,0.642857142857,0.705882352941
b'up_sample',b'wrapper: rfe_lr',b'linear_svm',b'genomic_epidemiological',0.655411454219,1.0,0.685185185185,0.491071428571,0.663194444444,0.722222222222,0.722222222222,0.25,0.125,0.166666666667,0.78125,0.892857142857,0.833333333333
b'smote_sample',b'wrapper: rfe_lr',b'linear_svm',b'genomic_epidemiological',0.653577808135,1.0,0.703427719821,0.40625,0.686868686869,0.75,0.75,0.333333333333,0.125,0.181818181818,0.787878787879,0.928571428571,0.852459016393
b'raw',b'wrapper: rfe_lr',b'rf',b'genomic_epidemiological',0.66709459416,1.0,0.666666666667,0.377232142857,0.6,0.75,0.75,0.0,0.0,0.0,0.771428571429,0.964285714286,0.857142857143
b'down_sample',b'wrapper: rfe_lr',b'rf',b'genomic_epidemiological',0.623198664065,0.779145744029,0.487734487734,0.453125,0.627777777778,0.444444444444,0.444444444444,0.2,0.5,0.285714285714,0.75,0.428571428571,0.545454545455
b'up_sample',b'wrapper: rfe_lr',b'rf',b'genomic_epidemiological',0.66709459416,1.0,0.680555555556,0.435267857143,0.604938271605,0.777777777778,0.777777777778,0.0,0.0,0.0,0.777777777778,1.0,0.875
b'smote_sample',b'wrapper: rfe_lr',b'rf',b'genomic_epidemiological',0.66709459416,1.0,0.680555555556,0.383928571429,0.604938271605,0.777777777778,0.777777777778,0.0,0.0,0.0,0.777777777778,1.0,0.875
b'raw',b'wrapper: rfe_lr',b'knn',b'genomic_epidemiological',0.688219689961,0.799771272009,0.680555555556,0.526785714286,0.604938271605,0.777777777778,0.777777777778,0.0,0.0,0.0,0.777777777778,1.0,0.875
b'down_sample',b'wrapper: rfe_lr',b'knn',b'genomic_epidemiological',0.669970440879,0.642747465696,0.592592592593,0.607142857143,0.677777777778,0.555555555556,0.555555555556,0.25,0.5,0.333333333333,0.8,0.571428571429,0.666666666667
b'up_sample',b'wrapper: rfe_lr',b'knn',b'genomic_epidemiological',0.675596442872,0.829512791032,0.643518518519,0.647321428571,0.730555555556,0.611111111111,0.611111111111,0.3125,0.625,0.416666666667,0.85,0.607142857143,0.708333333333
b'smote_sample',b'wrapper: rfe_lr',b'knn',b'genomic_epidemiological',0.295548739811,0.500205521395,0.283333333333,0.705357142857,0.833333333333,0.333333333333,0.333333333333,0.25,1.0,0.4,1.0,0.142857142857,0.25
b'raw',b'embedded: rlr_l1',b'linear_svm',b'genomic_epidemiological',0.678058140547,1.0,0.680555555556,0.321428571429,0.604938271605,0.777777777778,0.777777777778,0.0,0.0,0.0,0.777777777778,1.0,0.875
b'down_sample',b'embedded: rlr_l1',b'linear_svm',b'genomic_epidemiological',0.703001759115,1.0,0.680555555556,0.370535714286,0.604938271605,0.777777777778,0.777777777778,0.0,0.0,0.0,0.777777777778,1.0,0.875
b'up_sample',b'embedded: rlr_l1',b'linear_svm',b'genomic_epidemiological',0.678058140547,1.0,0.680555555556,0.321428571429,0.604938271605,0.777777777778,0.777777777778,0.0,0.0,0.0,0.777777777778,1.0,0.875
b'smote_sample',b'embedded: rlr_l1',b'linear_svm',b'genomic_epidemiological',0.678058140547,1.0,0.680555555556,0.321428571429,0.604938271605,0.777777777778,0.777777777778,0.0,0.0,0.0,0.777777777778,1.0,0.875
b'raw',b'embedded: rlr_l1',b'rf',b'genomic_epidemiological',0.681781544802,1.0,0.680555555556,0.399553571429,0.604938271605,0.777777777778,0.777777777778,0.0,0.0,0.0,0.777777777778,1.0,0.875
b'down_sample',b'embedded: rlr_l1',b'rf',b'genomic_epidemiological',0.724305011939,0.958909115068,0.582905982906,0.4375,0.62037037037,0.555555555556,0.555555555556,0.166666666667,0.25,0.2,0.75,0.642857142857,0.692307692308
b'up_sample',b'embedded: rlr_l1',b'rf',b'genomic_epidemiological',0.682688987945,1.0,0.680555555556,0.428571428571,0.604938271605,0.777777777778,0.777777777778,0.0,0.0,0.0,0.777777777778,1.0,0.875
b'smote_sample',b'embedded: rlr_l1',b'rf',b'genomic_epidemiological',0.681781544802,1.0,0.680555555556,0.448660714286,0.604938271605,0.777777777778,0.777777777778,0.0,0.0,0.0,0.777777777778,1.0,0.875
b'raw',b'embedded: rlr_l1',b'knn',b'genomic_epidemiological',0.693068020103,1.0,0.666666666667,0.444196428571,0.6,0.75,0.75,0.0,0.0,0.0,0.771428571429,0.964285714286,0.857142857143
b'down_sample',b'embedded: rlr_l1',b'knn',b'genomic_epidemiological',0.74768708194,1.0,0.703427719821,0.417410714286,0.686868686869,0.75,0.75,0.333333333333,0.125,0.181818181818,0.787878787879,0.928571428571,0.852459016393
b'up_sample',b'embedded: rlr_l1',b'knn',b'genomic_epidemiological',0.750631018803,1.0,0.721863799283,0.401785714286,0.728758169935,0.777777777778,0.777777777778,0.5,0.125,0.2,0.794117647059,0.964285714286,0.870967741935
b'smote_sample',b'embedded: rlr_l1',b'knn',b'genomic_epidemiological',0.267975932988,0.534087309929,0.176239181747,0.412946428571,0.565656565657,0.25,0.25,0.212121212121,0.875,0.341463414634,0.666666666667,0.0714285714286,0.129032258065
