"sampling","fs","classifier","data","cv f1","train f1","test f1","test auc","test precision","test recall","test accuracy","test precision (1)","test recall (1)","test f1 (1)","test precision (0)","test recall (0)","test f1 (0)"
"down_sample","embedded: rlr_l1","knn","genomic_epidemiological","0,6847","1,0000","0,6375","0,4754","0,5892","0,6944","0,6944","0,0000","0,0000","0,0000","0,7576","0,8929","0,8197"
"raw","embedded: rlr_l1","knn","genomic_epidemiological","0,6771","1,0000","0,6523","0,5000","0,5948","0,7222","0,7222","0,0000","0,0000","0,0000","0,7647","0,9286","0,8387"
"smote_sample","embedded: rlr_l1","rf","genomic_epidemiological","0,6739","1,0000","0,6667","0,4353","0,6000","0,7500","0,7500","0,0000","0,0000","0,0000","0,7714","0,9643","0,8571"
"up_sample","embedded: rlr_l1","rf","genomic_epidemiological","0,6734","1,0000","0,6667","0,5826","0,6000","0,7500","0,7500","0,0000","0,0000","0,0000","0,7714","0,9643","0,8571"
"raw","wrapper: rfe_lr","knn","genomic_epidemiological","0,6699","0,8179","0,7407","0,5446","0,8444","0,8056","0,8056","1,0000","0,1250","0,2222","0,8000","1,0000","0,8889"
"up_sample","filter: anova","knn","genomic_epidemiological","0,6687","0,9929","0,6667","0,5759","0,6000","0,7500","0,7500","0,0000","0,0000","0,0000","0,7714","0,9643","0,8571"
"raw","filter: anova","linear_svm","genomic_epidemiological","0,6671","1,0000","0,7407","0,6116","0,8444","0,8056","0,8056","1,0000","0,1250","0,2222","0,8000","1,0000","0,8889"
"up_sample","filter: anova","linear_svm","genomic_epidemiological","0,6671","1,0000","0,7407","0,6116","0,8444","0,8056","0,8056","1,0000","0,1250","0,2222","0,8000","1,0000","0,8889"
"smote_sample","filter: anova","linear_svm","genomic_epidemiological","0,6671","1,0000","0,7407","0,6116","0,8444","0,8056","0,8056","1,0000","0,1250","0,2222","0,8000","1,0000","0,8889"
"raw","filter: anova","rf","genomic_epidemiological","0,6671","1,0000","0,6806","0,3616","0,6049","0,7778","0,7778","0,0000","0,0000","0,0000","0,7778","1,0000","0,8750"
"up_sample","filter: anova","rf","genomic_epidemiological","0,6671","1,0000","0,6806","0,5647","0,6049","0,7778","0,7778","0,0000","0,0000","0,0000","0,7778","1,0000","0,8750"
"smote_sample","filter: anova","rf","genomic_epidemiological","0,6671","1,0000","0,6806","0,3504","0,6049","0,7778","0,7778","0,0000","0,0000","0,0000","0,7778","1,0000","0,8750"
"raw","filter: anova","knn","genomic_epidemiological","0,6671","0,9562","0,6806","0,5781","0,6049","0,7778","0,7778","0,0000","0,0000","0,0000","0,7778","1,0000","0,8750"
"raw","wrapper: rfe_lr","rf","genomic_epidemiological","0,6671","1,0000","0,6806","0,4129","0,6049","0,7778","0,7778","0,0000","0,0000","0,0000","0,7778","1,0000","0,8750"
"smote_sample","wrapper: rfe_lr","rf","genomic_epidemiological","0,6671","1,0000","0,6806","0,4576","0,6049","0,7778","0,7778","0,0000","0,0000","0,0000","0,7778","1,0000","0,8750"
"raw","embedded: rlr_l1","rf","genomic_epidemiological","0,6671","1,0000","0,6806","0,2969","0,6049","0,7778","0,7778","0,0000","0,0000","0,0000","0,7778","1,0000","0,8750"
"down_sample","filter: anova","knn","genomic_epidemiological","0,6636","0,9637","0,6375","0,4353","0,5892","0,6944","0,6944","0,0000","0,0000","0,0000","0,7576","0,8929","0,8197"
"up_sample","wrapper: rfe_lr","rf","genomic_epidemiological","0,6601","1,0000","0,6806","0,4219","0,6049","0,7778","0,7778","0,0000","0,0000","0,0000","0,7778","1,0000","0,8750"
"raw","embedded: rlr_l1","linear_svm","genomic_epidemiological","0,6566","1,0000","0,6667","0,5848","0,6000","0,7500","0,7500","0,0000","0,0000","0,0000","0,7714","0,9643","0,8571"
"up_sample","embedded: rlr_l1","linear_svm","genomic_epidemiological","0,6566","1,0000","0,6667","0,5848","0,6000","0,7500","0,7500","0,0000","0,0000","0,0000","0,7714","0,9643","0,8571"
"smote_sample","embedded: rlr_l1","linear_svm","genomic_epidemiological","0,6566","1,0000","0,6667","0,5848","0,6000","0,7500","0,7500","0,0000","0,0000","0,0000","0,7714","0,9643","0,8571"
"down_sample","wrapper: rfe_lr","knn","genomic_epidemiological","0,6455","0,7822","0,6300","0,4196","0,6218","0,6389","0,6389","0,1429","0,1250","0,1333","0,7586","0,7857","0,7719"
"up_sample","embedded: rlr_l1","knn","genomic_epidemiological","0,6439","1,0000","0,7072","0,5268","0,6963","0,7222","0,7222","0,3333","0,2500","0,2857","0,8000","0,8571","0,8276"
"raw","wrapper: rfe_lr","linear_svm","genomic_epidemiological","0,6417","1,0000","0,6523","0,5313","0,5948","0,7222","0,7222","0,0000","0,0000","0,0000","0,7647","0,9286","0,8387"
"up_sample","wrapper: rfe_lr","linear_svm","genomic_epidemiological","0,6417","1,0000","0,6523","0,5313","0,5948","0,7222","0,7222","0,0000","0,0000","0,0000","0,7647","0,9286","0,8387"
"smote_sample","wrapper: rfe_lr","linear_svm","genomic_epidemiological","0,6417","1,0000","0,6523","0,5313","0,5948","0,7222","0,7222","0,0000","0,0000","0,0000","0,7647","0,9286","0,8387"
"down_sample","filter: anova","linear_svm","genomic_epidemiological","0,6411","1,0000","0,6852","0,5446","0,6632","0,7222","0,7222","0,2500","0,1250","0,1667","0,7813","0,8929","0,8333"
"down_sample","embedded: rlr_l1","linear_svm","genomic_epidemiological","0,6353","1,0000","0,7481","0,5804","0,7431","0,7778","0,7778","0,5000","0,2500","0,3333","0,8125","0,9286","0,8667"
"down_sample","embedded: rlr_l1","rf","genomic_epidemiological","0,6096","0,9656","0,5608","0,4063","0,6091","0,5278","0,5278","0,1538","0,2500","0,1905","0,7391","0,6071","0,6667"
"down_sample","filter: anova","rf","genomic_epidemiological","0,5957","0,9260","0,6680","0,5670","0,7407","0,6389","0,6389","0,3333","0,6250","0,4348","0,8571","0,6429","0,7347"
"up_sample","wrapper: rfe_lr","knn","genomic_epidemiological","0,5921","0,8484","0,6170","0,5179","0,6889","0,5833","0,5833","0,2667","0,5000","0,3478","0,8095","0,6071","0,6939"
"down_sample","wrapper: rfe_lr","linear_svm","genomic_epidemiological","0,5696","0,9792","0,6486","0,4420","0,6333","0,6667","0,6667","0,1667","0,1250","0,1429","0,7667","0,8214","0,7931"
"down_sample","wrapper: rfe_lr","rf","genomic_epidemiological","0,5526","0,8304","0,5148","0,4531","0,5852","0,4722","0,4722","0,1333","0,2500","0,1739","0,7143","0,5357","0,6122"
"smote_sample","wrapper: rfe_lr","knn","genomic_epidemiological","0,2865","0,5258","0,3269","0,6875","0,8351","0,3611","0,3611","0,2581","1,0000","0,4103","1,0000","0,1786","0,3030"
"smote_sample","embedded: rlr_l1","knn","genomic_epidemiological","0,2300","0,3986","0,2683","0,4442","0,6724","0,3056","0,3056","0,2258","0,8750","0,3590","0,8000","0,1429","0,2424"
"smote_sample","filter: anova","knn","genomic_epidemiological","0,0876","0,0876","0,0808","0,5000","0,0494","0,2222","0,2222","0,2222","1,0000","0,3636","0,0000","0,0000","0,0000"
