"sampling","fs","classifier","data","cv f1","train f1","test f1","test auc","test precision","test recall","test accuracy","test precision (1)","test recall (1)","test f1 (1)","test precision (0)","test recall (0)","test f1 (0)"
"up_sample","wrapper: rfe_lr","rf","genomic_epidemiological","0,7049","1,0000","0,6523","0,3661","0,5948","0,7222","0,7222","0,0000","0,0000","0,0000","0,7647","0,9286","0,8387"
"raw","wrapper: rfe_lr","linear_svm","genomic_epidemiological","0,6997","1,0000","0,6667","0,3393","0,6000","0,7500","0,7500","0,0000","0,0000","0,0000","0,7714","0,9643","0,8571"
"up_sample","wrapper: rfe_lr","linear_svm","genomic_epidemiological","0,6997","1,0000","0,6667","0,3393","0,6000","0,7500","0,7500","0,0000","0,0000","0,0000","0,7714","0,9643","0,8571"
"smote_sample","wrapper: rfe_lr","linear_svm","genomic_epidemiological","0,6997","1,0000","0,6667","0,3393","0,6000","0,7500","0,7500","0,0000","0,0000","0,0000","0,7714","0,9643","0,8571"
"up_sample","embedded: rlr_l1","knn","genomic_epidemiological","0,6932","1,0000","0,6486","0,4196","0,6333","0,6667","0,6667","0,1667","0,1250","0,1429","0,7667","0,8214","0,7931"
"smote_sample","wrapper: rfe_lr","rf","genomic_epidemiological","0,6917","1,0000","0,6806","0,4196","0,6049","0,7778","0,7778","0,0000","0,0000","0,0000","0,7778","1,0000","0,8750"
"raw","filter: anova","rf","genomic_epidemiological","0,6827","1,0000","0,6806","0,3103","0,6049","0,7778","0,7778","0,0000","0,0000","0,0000","0,7778","1,0000","0,8750"
"up_sample","filter: anova","rf","genomic_epidemiological","0,6822","1,0000","0,7407","0,5558","0,8444","0,8056","0,8056","1,0000","0,1250","0,2222","0,8000","1,0000","0,8889"
"up_sample","filter: anova","knn","genomic_epidemiological","0,6818","0,9929","0,7407","0,4933","0,8444","0,8056","0,8056","1,0000","0,1250","0,2222","0,8000","1,0000","0,8889"
"smote_sample","embedded: rlr_l1","rf","genomic_epidemiological","0,6809","1,0000","0,6806","0,2254","0,6049","0,7778","0,7778","0,0000","0,0000","0,0000","0,7778","1,0000","0,8750"
"down_sample","embedded: rlr_l1","linear_svm","genomic_epidemiological","0,6804","1,0000","0,6852","0,2857","0,6632","0,7222","0,7222","0,2500","0,1250","0,1667","0,7813","0,8929","0,8333"
"down_sample","embedded: rlr_l1","knn","genomic_epidemiological","0,6796","1,0000","0,6064","0,3705","0,5771","0,6389","0,6389","0,0000","0,0000","0,0000","0,7419","0,8214","0,7797"
"raw","embedded: rlr_l1","rf","genomic_epidemiological","0,6792","1,0000","0,6806","0,5804","0,6049","0,7778","0,7778","0,0000","0,0000","0,0000","0,7778","1,0000","0,8750"
"up_sample","embedded: rlr_l1","rf","genomic_epidemiological","0,6783","1,0000","0,6806","0,4933","0,6049","0,7778","0,7778","0,0000","0,0000","0,0000","0,7778","1,0000","0,8750"
"down_sample","filter: anova","knn","genomic_epidemiological","0,6782","0,9929","0,7219","0,3705","0,7288","0,7778","0,7778","0,5000","0,1250","0,2000","0,7941","0,9643","0,8710"
"raw","embedded: rlr_l1","knn","genomic_epidemiological","0,6770","1,0000","0,6667","0,3460","0,6000","0,7500","0,7500","0,0000","0,0000","0,0000","0,7714","0,9643","0,8571"
"raw","embedded: rlr_l1","linear_svm","genomic_epidemiological","0,6749","1,0000","0,6667","0,2679","0,6000","0,7500","0,7500","0,0000","0,0000","0,0000","0,7714","0,9643","0,8571"
"up_sample","embedded: rlr_l1","linear_svm","genomic_epidemiological","0,6749","1,0000","0,6667","0,2679","0,6000","0,7500","0,7500","0,0000","0,0000","0,0000","0,7714","0,9643","0,8571"
"smote_sample","embedded: rlr_l1","linear_svm","genomic_epidemiological","0,6749","1,0000","0,6667","0,2679","0,6000","0,7500","0,7500","0,0000","0,0000","0,0000","0,7714","0,9643","0,8571"
"down_sample","filter: anova","linear_svm","genomic_epidemiological","0,6726","1,0000","0,6523","0,4732","0,5948","0,7222","0,7222","0,0000","0,0000","0,0000","0,7647","0,9286","0,8387"
"raw","filter: anova","linear_svm","genomic_epidemiological","0,6671","1,0000","0,6806","0,4107","0,6049","0,7778","0,7778","0,0000","0,0000","0,0000","0,7778","1,0000","0,8750"
"up_sample","filter: anova","linear_svm","genomic_epidemiological","0,6671","1,0000","0,6806","0,4107","0,6049","0,7778","0,7778","0,0000","0,0000","0,0000","0,7778","1,0000","0,8750"
"smote_sample","filter: anova","linear_svm","genomic_epidemiological","0,6671","1,0000","0,6806","0,4152","0,6049","0,7778","0,7778","0,0000","0,0000","0,0000","0,7778","1,0000","0,8750"
"smote_sample","filter: anova","rf","genomic_epidemiological","0,6671","1,0000","0,6806","0,4621","0,6049","0,7778","0,7778","0,0000","0,0000","0,0000","0,7778","1,0000","0,8750"
"raw","filter: anova","knn","genomic_epidemiological","0,6671","0,9562","0,6806","0,5357","0,6049","0,7778","0,7778","0,0000","0,0000","0,0000","0,7778","1,0000","0,8750"
"raw","wrapper: rfe_lr","rf","genomic_epidemiological","0,6671","1,0000","0,6806","0,3013","0,6049","0,7778","0,7778","0,0000","0,0000","0,0000","0,7778","1,0000","0,8750"
