"sampling","fs","classifier","data","cv f1","train f1","test f1","test auc","test precision","test recall","test accuracy","test precision (1)","test recall (1)","test f1 (1)","test precision (0)","test recall (0)","test f1 (0)"
"down_sample","embedded: rlr_l1","linear_svm","genomic_epidemiological","0,7112","1,0000","0,7034","0,5938","0,6869","0,7500","0,7500","0,3333","0,1250","0,1818","0,7879","0,9286","0,8525"
"up_sample","wrapper: rfe_lr","rf","genomic_epidemiological","0,7098","1,0000","0,6667","0,6585","0,6000","0,7500","0,7500","0,0000","0,0000","0,0000","0,7714","0,9643","0,8571"
"up_sample","embedded: rlr_l1","knn","genomic_epidemiological","0,7093","0,9861","0,7657","0,6161","0,7593","0,7778","0,7778","0,5000","0,3750","0,4286","0,8333","0,8929","0,8621"
"raw","embedded: rlr_l1","knn","genomic_epidemiological","0,7070","1,0000","0,6806","0,5915","0,6049","0,7778","0,7778","0,0000","0,0000","0,0000","0,7778","1,0000","0,8750"
"down_sample","embedded: rlr_l1","knn","genomic_epidemiological","0,7009","1,0000","0,6222","0,5871","0,5833","0,6667","0,6667","0,0000","0,0000","0,0000","0,7500","0,8571","0,8000"
"down_sample","filter: anova","knn","genomic_epidemiological","0,6992","0,9929","0,6806","0,5982","0,6049","0,7778","0,7778","0,0000","0,0000","0,0000","0,7778","1,0000","0,8750"
"raw","embedded: rlr_l1","linear_svm","genomic_epidemiological","0,6964","1,0000","0,6806","0,6250","0,6049","0,7778","0,7778","0,0000","0,0000","0,0000","0,7778","1,0000","0,8750"
"up_sample","embedded: rlr_l1","linear_svm","genomic_epidemiological","0,6964","1,0000","0,6806","0,6250","0,6049","0,7778","0,7778","0,0000","0,0000","0,0000","0,7778","1,0000","0,8750"
"smote_sample","embedded: rlr_l1","linear_svm","genomic_epidemiological","0,6964","1,0000","0,6806","0,6295","0,6049","0,7778","0,7778","0,0000","0,0000","0,0000","0,7778","1,0000","0,8750"
"up_sample","embedded: rlr_l1","rf","genomic_epidemiological","0,6818","1,0000","0,6806","0,5647","0,6049","0,7778","0,7778","0,0000","0,0000","0,0000","0,7778","1,0000","0,8750"
"up_sample","wrapper: rfe_lr","linear_svm","genomic_epidemiological","0,6799","1,0000","0,6667","0,7232","0,6000","0,7500","0,7500","0,0000","0,0000","0,0000","0,7714","0,9643","0,8571"
"smote_sample","embedded: rlr_l1","rf","genomic_epidemiological","0,6783","1,0000","0,6806","0,5826","0,6049","0,7778","0,7778","0,0000","0,0000","0,0000","0,7778","1,0000","0,8750"
"smote_sample","wrapper: rfe_lr","linear_svm","genomic_epidemiological","0,6782","1,0000","0,6667","0,6741","0,6000","0,7500","0,7500","0,0000","0,0000","0,0000","0,7714","0,9643","0,8571"
