"sampling","fs","classifier","data","cv f1","train f1","test f1","test auc","test precision","test recall","test accuracy","test precision (1)","test recall (1)","test f1 (1)","test precision (0)","test recall (0)","test f1 (0)"
"raw","embedded: rlr_l1","linear_svm","genomic_epidemiological","0,7151","1,0000","0,6523","0,3884","0,5948","0,7222","0,7222","0,0000","0,0000","0,0000","0,7647","0,9286","0,8387"
"up_sample","embedded: rlr_l1","linear_svm","genomic_epidemiological","0,7151","1,0000","0,6523","0,3929","0,5948","0,7222","0,7222","0,0000","0,0000","0,0000","0,7647","0,9286","0,8387"
"smote_sample","embedded: rlr_l1","linear_svm","genomic_epidemiological","0,7151","1,0000","0,6523","0,3884","0,5948","0,7222","0,7222","0,0000","0,0000","0,0000","0,7647","0,9286","0,8387"
"raw","wrapper: rfe_lr","knn","genomic_epidemiological","0,7135","0,8179","0,6222","0,2478","0,5833","0,6667","0,6667","0,0000","0,0000","0,0000","0,7500","0,8571","0,8000"
"smote_sample","wrapper: rfe_lr","rf","genomic_epidemiological","0,6968","1,0000","0,6667","0,5022","0,6000","0,7500","0,7500","0,0000","0,0000","0,0000","0,7714","0,9643","0,8571"
"down_sample","embedded: rlr_l1","knn","genomic_epidemiological","0,6933","1,0000","0,6670","0,4688","0,6466","0,6944","0,6944","0,2000","0,1250","0,1538","0,7742","0,8571","0,8136"
"raw","filter: anova","linear_svm","genomic_epidemiological","0,6926","1,0000","0,6667","0,3036","0,6000","0,7500","0,7500","0,0000","0,0000","0,0000","0,7714","0,9643","0,8571"
"up_sample","filter: anova","linear_svm","genomic_epidemiological","0,6926","1,0000","0,6667","0,3036","0,6000","0,7500","0,7500","0,0000","0,0000","0,0000","0,7714","0,9643","0,8571"
"smote_sample","filter: anova","linear_svm","genomic_epidemiological","0,6926","1,0000","0,6667","0,3036","0,6000","0,7500","0,7500","0,0000","0,0000","0,0000","0,7714","0,9643","0,8571"
"up_sample","embedded: rlr_l1","knn","genomic_epidemiological","0,6925","1,0000","0,6300","0,4018","0,6218","0,6389","0,6389","0,1429","0,1250","0,1333","0,7586","0,7857","0,7719"
"raw","embedded: rlr_l1","knn","genomic_epidemiological","0,6885","1,0000","0,6667","0,4196","0,6000","0,7500","0,7500","0,0000","0,0000","0,0000","0,7714","0,9643","0,8571"
"down_sample","embedded: rlr_l1","linear_svm","genomic_epidemiological","0,6866","1,0000","0,6486","0,4107","0,6333","0,6667","0,6667","0,1667","0,1250","0,1429","0,7667","0,8214","0,7931"
"raw","wrapper: rfe_lr","rf","genomic_epidemiological","0,6818","1,0000","0,6806","0,4598","0,6049","0,7778","0,7778","0,0000","0,0000","0,0000","0,7778","1,0000","0,8750"
"up_sample","wrapper: rfe_lr","rf","genomic_epidemiological","0,6818","1,0000","0,6806","0,3750","0,6049","0,7778","0,7778","0,0000","0,0000","0,0000","0,7778","1,0000","0,8750"
"up_sample","embedded: rlr_l1","rf","genomic_epidemiological","0,6818","1,0000","0,6806","0,4487","0,6049","0,7778","0,7778","0,0000","0,0000","0,0000","0,7778","1,0000","0,8750"
"up_sample","filter: anova","knn","genomic_epidemiological","0,6807","0,9929","0,6222","0,2679","0,5833","0,6667","0,6667","0,0000","0,0000","0,0000","0,7500","0,8571","0,8000"
"smote_sample","embedded: rlr_l1","rf","genomic_epidemiological","0,6783","1,0000","0,6806","0,5179","0,6049","0,7778","0,7778","0,0000","0,0000","0,0000","0,7778","1,0000","0,8750"
"down_sample","filter: anova","knn","genomic_epidemiological","0,6779","0,9930","0,6064","0,2835","0,5771","0,6389","0,6389","0,0000","0,0000","0,0000","0,7419","0,8214","0,7797"
"raw","filter: anova","knn","genomic_epidemiological","0,6770","0,9712","0,6667","0,2679","0,6000","0,7500","0,7500","0,0000","0,0000","0,0000","0,7714","0,9643","0,8571"
"down_sample","filter: anova","linear_svm","genomic_epidemiological","0,6683","1,0000","0,6486","0,3080","0,6333","0,6667","0,6667","0,1667","0,1250","0,1429","0,7667","0,8214","0,7931"
"raw","filter: anova","rf","genomic_epidemiological","0,6671","0,9929","0,6806","0,6763","0,6049","0,7778","0,7778","0,0000","0,0000","0,0000","0,7778","1,0000","0,8750"
"up_sample","filter: anova","rf","genomic_epidemiological","0,6671","1,0000","0,6806","0,4420","0,6049","0,7778","0,7778","0,0000","0,0000","0,0000","0,7778","1,0000","0,8750"
"smote_sample","filter: anova","rf","genomic_epidemiological","0,6671","1,0000","0,6806","0,3616","0,6049","0,7778","0,7778","0,0000","0,0000","0,0000","0,7778","1,0000","0,8750"
"raw","embedded: rlr_l1","rf","genomic_epidemiological","0,6671","1,0000","0,6806","0,7031","0,6049","0,7778","0,7778","0,0000","0,0000","0,0000","0,7778","1,0000","0,8750"
"raw","wrapper: rfe_lr","linear_svm","genomic_epidemiological","0,6503","1,0000","0,7219","0,5804","0,7288","0,7778","0,7778","0,5000","0,1250","0,2000","0,7941","0,9643","0,8710"
"up_sample","wrapper: rfe_lr","linear_svm","genomic_epidemiological","0,6503","1,0000","0,7219","0,5848","0,7288","0,7778","0,7778","0,5000","0,1250","0,2000","0,7941","0,9643","0,8710"
"smote_sample","wrapper: rfe_lr","linear_svm","genomic_epidemiological","0,6503","1,0000","0,7219","0,5848","0,7288","0,7778","0,7778","0,5000","0,1250","0,2000","0,7941","0,9643","0,8710"
"down_sample","embedded: rlr_l1","rf","genomic_epidemiological","0,6072","0,8494","0,7702","0,7076","0,8444","0,7500","0,7500","0,4667","0,8750","0,6087","0,9524","0,7143","0,8163"
"up_sample","wrapper: rfe_lr","knn","genomic_epidemiological","0,6031","0,7368","0,5148","0,2232","0,5852","0,4722","0,4722","0,1333","0,2500","0,1739","0,7143","0,5357","0,6122"
"down_sample","wrapper: rfe_lr","rf","genomic_epidemiological","0,5832","0,8113","0,4296","0,3817","0,5960","0,3889","0,3889","0,1818","0,5000","0,2667","0,7143","0,3571","0,4762"
"down_sample","wrapper: rfe_lr","linear_svm","genomic_epidemiological","0,5651","0,9724","0,7275","0,5804","0,7161","0,7500","0,7500","0,4000","0,2500","0,3077","0,8065","0,8929","0,8475"
"down_sample","wrapper: rfe_lr","knn","genomic_epidemiological","0,5642","0,1303","0,2236","0,5424","0,6319","0,2778","0,2778","0,2188","0,8750","0,3500","0,7500","0,1071","0,1875"
"down_sample","filter: anova","rf","genomic_epidemiological","0,5306","0,7661","0,3988","0,3170","0,5771","0,3611","0,3611","0,1739","0,5000","0,2581","0,6923","0,3214","0,4390"
"smote_sample","wrapper: rfe_lr","knn","genomic_epidemiological","0,4464","0,5806","0,3157","0,2790","0,5597","0,3056","0,3056","0,1852","0,6250","0,2857","0,6667","0,2143","0,3243"
"smote_sample","embedded: rlr_l1","knn","genomic_epidemiological","0,1811","0,4181","0,2373","0,5156","0,8316","0,3056","0,3056","0,2424","1,0000","0,3902","1,0000","0,1071","0,1935"
"smote_sample","filter: anova","knn","genomic_epidemiological","0,0876","0,0876","0,0808","0,5000","0,0494","0,2222","0,2222","0,2222","1,0000","0,3636","0,0000","0,0000","0,0000"
