"sampling","fs","classifier","data","cv f1","train f1","test f1","test auc","test precision","test recall","test accuracy","test precision (1)","test recall (1)","test f1 (1)","test precision (0)","test recall (0)","test f1 (0)"
"up_sample","embedded: rlr_l1","knn","genomic_epidemiological","0,7269","1,0000","0,6670","0,5804","0,6466","0,6944","0,6944","0,2000","0,1250","0,1538","0,7742","0,8571","0,8136"
"up_sample","filter: anova","rf","genomic_epidemiological","0,7220","1,0000","0,7407","0,5379","0,8444","0,8056","0,8056","1,0000","0,1250","0,2222","0,8000","1,0000","0,8889"
"down_sample","embedded: rlr_l1","rf","genomic_epidemiological","0,7181","0,9002","0,4877","0,5379","0,6278","0,4444","0,4444","0,2000","0,5000","0,2857","0,7500","0,4286","0,5455"
"down_sample","filter: anova","knn","genomic_epidemiological","0,7100","0,9309","0,6872","0,5670","0,7222","0,6667","0,6667","0,3333","0,5000","0,4000","0,8333","0,7143","0,7692"
"raw","embedded: rlr_l1","linear_svm","genomic_epidemiological","0,7073","1,0000","0,6667","0,5134","0,6000","0,7500","0,7500","0,0000","0,0000","0,0000","0,7714","0,9643","0,8571"
"up_sample","embedded: rlr_l1","linear_svm","genomic_epidemiological","0,7073","1,0000","0,6667","0,5134","0,6000","0,7500","0,7500","0,0000","0,0000","0,0000","0,7714","0,9643","0,8571"
"smote_sample","embedded: rlr_l1","linear_svm","genomic_epidemiological","0,7073","1,0000","0,6667","0,5134","0,6000","0,7500","0,7500","0,0000","0,0000","0,0000","0,7714","0,9643","0,8571"
"up_sample","embedded: rlr_l1","rf","genomic_epidemiological","0,7049","1,0000","0,6806","0,6317","0,6049","0,7778","0,7778","0,0000","0,0000","0,0000","0,7778","1,0000","0,8750"
"raw","wrapper: rfe_lr","knn","genomic_epidemiological","0,7033","0,8037","0,7219","0,4598","0,7288","0,7778","0,7778","0,5000","0,1250","0,2000","0,7941","0,9643","0,8710"
"down_sample","embedded: rlr_l1","linear_svm","genomic_epidemiological","0,7026","1,0000","0,6375","0,4509","0,5892","0,6944","0,6944","0,0000","0,0000","0,0000","0,7576","0,8929","0,8197"
"raw","wrapper: rfe_lr","rf","genomic_epidemiological","0,6965","1,0000","0,6667","0,5223","0,6000","0,7500","0,7500","0,0000","0,0000","0,0000","0,7714","0,9643","0,8571"
"smote_sample","wrapper: rfe_lr","rf","genomic_epidemiological","0,6939","1,0000","0,6806","0,4442","0,6049","0,7778","0,7778","0,0000","0,0000","0,0000","0,7778","1,0000","0,8750"
"up_sample","wrapper: rfe_lr","rf","genomic_epidemiological","0,6928","1,0000","0,6852","0,6027","0,6632","0,7222","0,7222","0,2500","0,1250","0,1667","0,7813","0,8929","0,8333"
"down_sample","wrapper: rfe_lr","linear_svm","genomic_epidemiological","0,6875","0,9792","0,6111","0,5000","0,6111","0,6111","0,6111","0,1250","0,1250","0,1250","0,7500","0,7500","0,7500"
"down_sample","embedded: rlr_l1","knn","genomic_epidemiological","0,6867","1,0000","0,7657","0,5424","0,7593","0,7778","0,7778","0,5000","0,3750","0,4286","0,8333","0,8929","0,8621"
"down_sample","filter: anova","linear_svm","genomic_epidemiological","0,6849","1,0000","0,6064","0,4286","0,5771","0,6389","0,6389","0,0000","0,0000","0,0000","0,7419","0,8214","0,7797"
