"sampling","fs","classifier","data","cv f1","train f1","test f1","test auc","test precision","test recall","test accuracy","test precision (1)","test recall (1)","test f1 (1)","test precision (0)","test recall (0)","test f1 (0)"
"raw","wrapper: rfe_lr","knn","genomic_epidemiological","0,7097","0,8381","0,7881","0,5893","0,7857","0,8056","0,8056","0,6000","0,3750","0,4615","0,8387","0,9286","0,8814"
"down_sample","embedded: rlr_l1","knn","genomic_epidemiological","0,6839","0,9861","0,7099","0,5670","0,7341","0,6944","0,6944","0,3636","0,5000","0,4211","0,8400","0,7500","0,7925"
"smote_sample","embedded: rlr_l1","rf","genomic_epidemiological","0,6822","1,0000","0,6806","0,3728","0,6049","0,7778","0,7778","0,0000","0,0000","0,0000","0,7778","1,0000","0,8750"
"raw","embedded: rlr_l1","knn","genomic_epidemiological","0,6787","0,9485","0,6806","0,4464","0,6049","0,7778","0,7778","0,0000","0,0000","0,0000","0,7778","1,0000","0,8750"
"up_sample","wrapper: rfe_lr","rf","genomic_epidemiological","0,6783","1,0000","0,7219","0,4152","0,7288","0,7778","0,7778","0,5000","0,1250","0,2000","0,7941","0,9643","0,8710"
"up_sample","embedded: rlr_l1","rf","genomic_epidemiological","0,6736","1,0000","0,6667","0,3594","0,6000","0,7500","0,7500","0,0000","0,0000","0,0000","0,7714","0,9643","0,8571"
"down_sample","filter: anova","knn","genomic_epidemiological","0,6710","1,0000","0,6375","0,5491","0,5892","0,6944","0,6944","0,0000","0,0000","0,0000","0,7576","0,8929","0,8197"
"raw","filter: anova","rf","genomic_epidemiological","0,6671","1,0000","0,6806","0,5045","0,6049","0,7778","0,7778","0,0000","0,0000","0,0000","0,7778","1,0000","0,8750"
"up_sample","filter: anova","rf","genomic_epidemiological","0,6671","1,0000","0,6806","0,3214","0,6049","0,7778","0,7778","0,0000","0,0000","0,0000","0,7778","1,0000","0,8750"
"smote_sample","filter: anova","rf","genomic_epidemiological","0,6671","1,0000","0,6806","0,6719","0,6049","0,7778","0,7778","0,0000","0,0000","0,0000","0,7778","1,0000","0,8750"
"raw","filter: anova","knn","genomic_epidemiological","0,6671","0,8731","0,6806","0,4576","0,6049","0,7778","0,7778","0,0000","0,0000","0,0000","0,7778","1,0000","0,8750"
"raw","wrapper: rfe_lr","rf","genomic_epidemiological","0,6671","1,0000","0,7407","0,4196","0,8444","0,8056","0,8056","1,0000","0,1250","0,2222","0,8000","1,0000","0,8889"
"raw","embedded: rlr_l1","rf","genomic_epidemiological","0,6671","1,0000","0,6806","0,2701","0,6049","0,7778","0,7778","0,0000","0,0000","0,0000","0,7778","1,0000","0,8750"
"raw","embedded: rlr_l1","linear_svm","genomic_epidemiological","0,6642","1,0000","0,6806","0,3661","0,6049","0,7778","0,7778","0,0000","0,0000","0,0000","0,7778","1,0000","0,8750"
"up_sample","embedded: rlr_l1","linear_svm","genomic_epidemiological","0,6642","1,0000","0,6806","0,3750","0,6049","0,7778","0,7778","0,0000","0,0000","0,0000","0,7778","1,0000","0,8750"
"smote_sample","embedded: rlr_l1","linear_svm","genomic_epidemiological","0,6642","1,0000","0,6806","0,3750","0,6049","0,7778","0,7778","0,0000","0,0000","0,0000","0,7778","1,0000","0,8750"
"smote_sample","wrapper: rfe_lr","rf","genomic_epidemiological","0,6636","1,0000","0,6806","0,4174","0,6049","0,7778","0,7778","0,0000","0,0000","0,0000","0,7778","1,0000","0,8750"
"raw","wrapper: rfe_lr","linear_svm","genomic_epidemiological","0,6636","1,0000","0,6222","0,4375","0,5833","0,6667","0,6667","0,0000","0,0000","0,0000","0,7500","0,8571","0,8000"
"up_sample","wrapper: rfe_lr","linear_svm","genomic_epidemiological","0,6636","1,0000","0,6222","0,4375","0,5833","0,6667","0,6667","0,0000","0,0000","0,0000","0,7500","0,8571","0,8000"
"smote_sample","wrapper: rfe_lr","linear_svm","genomic_epidemiological","0,6636","1,0000","0,6222","0,4375","0,5833","0,6667","0,6667","0,0000","0,0000","0,0000","0,7500","0,8571","0,8000"
"down_sample","embedded: rlr_l1","linear_svm","genomic_epidemiological","0,6587","1,0000","0,7034","0,4688","0,6869","0,7500","0,7500","0,3333","0,1250","0,1818","0,7879","0,9286","0,8525"
"raw","filter: anova","linear_svm","genomic_epidemiological","0,6493","1,0000","0,6806","0,5089","0,6049","0,7778","0,7778","0,0000","0,0000","0,0000","0,7778","1,0000","0,8750"
"up_sample","filter: anova","linear_svm","genomic_epidemiological","0,6493","1,0000","0,6806","0,5089","0,6049","0,7778","0,7778","0,0000","0,0000","0,0000","0,7778","1,0000","0,8750"
"smote_sample","filter: anova","linear_svm","genomic_epidemiological","0,6493","1,0000","0,6806","0,5089","0,6049","0,7778","0,7778","0,0000","0,0000","0,0000","0,7778","1,0000","0,8750"
"up_sample","filter: anova","knn","genomic_epidemiological","0,6490","0,9859","0,7219","0,5290","0,7288","0,7778","0,7778","0,5000","0,1250","0,2000","0,7941","0,9643","0,8710"
"down_sample","filter: anova","linear_svm","genomic_epidemiological","0,6461","0,9930","0,6670","0,4777","0,6466","0,6944","0,6944","0,2000","0,1250","0,1538","0,7742","0,8571","0,8136"
"up_sample","embedded: rlr_l1","knn","genomic_epidemiological","0,6367","0,9724","0,7222","0,4241","0,7222","0,7222","0,7222","0,3750","0,3750","0,3750","0,8214","0,8214","0,8214"
