"sampling","fs","classifier","data","cv f1","train f1","test f1","test auc","test precision","test recall","test accuracy","test precision (1)","test recall (1)","test f1 (1)","test precision (0)","test recall (0)","test f1 (0)"
"up_sample","wrapper: rfe_lr","linear_svm","genomic_epidemiological","0,7231","0,9930","0,7072","0,5893","0,6963","0,7222","0,7222","0,3333","0,2500","0,2857","0,8000","0,8571","0,8276"
"raw","wrapper: rfe_lr","knn","genomic_epidemiological","0,7163","0,7388","0,6670","0,6897","0,6466","0,6944","0,6944","0,2000","0,1250","0,1538","0,7742","0,8571","0,8136"
"down_sample","filter: anova","knn","genomic_epidemiological","0,6997","0,9788","0,6064","0,2768","0,5771","0,6389","0,6389","0,0000","0,0000","0,0000","0,7419","0,8214","0,7797"
"up_sample","wrapper: rfe_lr","rf","genomic_epidemiological","0,6903","1,0000","0,6667","0,4152","0,6000","0,7500","0,7500","0,0000","0,0000","0,0000","0,7714","0,9643","0,8571"
"smote_sample","wrapper: rfe_lr","linear_svm","genomic_epidemiological","0,6881","1,0000","0,7072","0,5670","0,6963","0,7222","0,7222","0,3333","0,2500","0,2857","0,8000","0,8571","0,8276"
"smote_sample","embedded: rlr_l1","rf","genomic_epidemiological","0,6881","1,0000","0,6667","0,2589","0,6000","0,7500","0,7500","0,0000","0,0000","0,0000","0,7714","0,9643","0,8571"
"raw","wrapper: rfe_lr","linear_svm","genomic_epidemiological","0,6856","1,0000","0,7219","0,5402","0,7288","0,7778","0,7778","0,5000","0,1250","0,2000","0,7941","0,9643","0,8710"
"raw","wrapper: rfe_lr","rf","genomic_epidemiological","0,6822","1,0000","0,6806","0,4196","0,6049","0,7778","0,7778","0,0000","0,0000","0,0000","0,7778","1,0000","0,8750"
"smote_sample","wrapper: rfe_lr","rf","genomic_epidemiological","0,6818","1,0000","0,6806","0,6094","0,6049","0,7778","0,7778","0,0000","0,0000","0,0000","0,7778","1,0000","0,8750"
"up_sample","embedded: rlr_l1","rf","genomic_epidemiological","0,6791","1,0000","0,6667","0,3192","0,6000","0,7500","0,7500","0,0000","0,0000","0,0000","0,7714","0,9643","0,8571"
"raw","filter: anova","linear_svm","genomic_epidemiological","0,6783","1,0000","0,6523","0,2679","0,5948","0,7222","0,7222","0,0000","0,0000","0,0000","0,7647","0,9286","0,8387"
"up_sample","filter: anova","linear_svm","genomic_epidemiological","0,6783","1,0000","0,6523","0,2679","0,5948","0,7222","0,7222","0,0000","0,0000","0,0000","0,7647","0,9286","0,8387"
"smote_sample","filter: anova","linear_svm","genomic_epidemiological","0,6783","1,0000","0,6523","0,2679","0,5948","0,7222","0,7222","0,0000","0,0000","0,0000","0,7647","0,9286","0,8387"
"up_sample","filter: anova","knn","genomic_epidemiological","0,6783","0,9929","0,6667","0,1585","0,6000","0,7500","0,7500","0,0000","0,0000","0,0000","0,7714","0,9643","0,8571"
