"sampling","fs","classifier","data","cv f1","train f1","test f1","test auc","test precision","test recall","test accuracy","test precision (1)","test recall (1)","test f1 (1)","test precision (0)","test recall (0)","test f1 (0)"
"up_sample","embedded: rlr_l1","knn","genomic_epidemiological","0,7067","0,9930","0,6111","0,2813","0,6111","0,6111","0,6111","0,1250","0,1250","0,1250","0,7500","0,7500","0,7500"
"down_sample","embedded: rlr_l1","knn","genomic_epidemiological","0,6964","0,9861","0,5556","0,1652","0,5556","0,5556","0,5556","0,0000","0,0000","0,0000","0,7143","0,7143","0,7143"
"raw","embedded: rlr_l1","knn","genomic_epidemiological","0,6924","0,9858","0,6806","0,2991","0,6049","0,7778","0,7778","0,0000","0,0000","0,0000","0,7778","1,0000","0,8750"
"raw","filter: anova","linear_svm","genomic_epidemiological","0,6818","1,0000","0,6806","0,3393","0,6049","0,7778","0,7778","0,0000","0,0000","0,0000","0,7778","1,0000","0,8750"
"up_sample","filter: anova","linear_svm","genomic_epidemiological","0,6818","1,0000","0,6806","0,3393","0,6049","0,7778","0,7778","0,0000","0,0000","0,0000","0,7778","1,0000","0,8750"
"smote_sample","filter: anova","linear_svm","genomic_epidemiological","0,6818","1,0000","0,6806","0,3393","0,6049","0,7778","0,7778","0,0000","0,0000","0,0000","0,7778","1,0000","0,8750"
"up_sample","filter: anova","rf","genomic_epidemiological","0,6818","1,0000","0,6806","0,3728","0,6049","0,7778","0,7778","0,0000","0,0000","0,0000","0,7778","1,0000","0,8750"
"smote_sample","embedded: rlr_l1","rf","genomic_epidemiological","0,6818","1,0000","0,6806","0,3125","0,6049","0,7778","0,7778","0,0000","0,0000","0,0000","0,7778","1,0000","0,8750"
"down_sample","filter: anova","knn","genomic_epidemiological","0,6793","0,9858","0,6523","0,3817","0,5948","0,7222","0,7222","0,0000","0,0000","0,0000","0,7647","0,9286","0,8387"
"raw","wrapper: rfe_lr","rf","genomic_epidemiological","0,6787","1,0000","0,6667","0,5960","0,6000","0,7500","0,7500","0,0000","0,0000","0,0000","0,7714","0,9643","0,8571"
"smote_sample","filter: anova","rf","genomic_epidemiological","0,6781","1,0000","0,6806","0,5982","0,6049","0,7778","0,7778","0,0000","0,0000","0,0000","0,7778","1,0000","0,8750"
"down_sample","embedded: rlr_l1","linear_svm","genomic_epidemiological","0,6721","1,0000","0,6375","0,2679","0,5892","0,6944","0,6944","0,0000","0,0000","0,0000","0,7576","0,8929","0,8197"
"up_sample","wrapper: rfe_lr","rf","genomic_epidemiological","0,6713","1,0000","0,6523","0,5536","0,5948","0,7222","0,7222","0,0000","0,0000","0,0000","0,7647","0,9286","0,8387"
"up_sample","filter: anova","knn","genomic_epidemiological","0,6703","0,9859","0,6523","0,3571","0,5948","0,7222","0,7222","0,0000","0,0000","0,0000","0,7647","0,9286","0,8387"
"raw","wrapper: rfe_lr","knn","genomic_epidemiological","0,6683","0,8057","0,7219","0,5446","0,7288","0,7778","0,7778","0,5000","0,1250","0,2000","0,7941","0,9643","0,8710"
"raw","filter: anova","rf","genomic_epidemiological","0,6671","1,0000","0,6806","0,3750","0,6049","0,7778","0,7778","0,0000","0,0000","0,0000","0,7778","1,0000","0,8750"
"raw","filter: anova","knn","genomic_epidemiological","0,6671","0,9562","0,6806","0,4911","0,6049","0,7778","0,7778","0,0000","0,0000","0,0000","0,7778","1,0000","0,8750"
"raw","embedded: rlr_l1","rf","genomic_epidemiological","0,6671","1,0000","0,6806","0,4531","0,6049","0,7778","0,7778","0,0000","0,0000","0,0000","0,7778","1,0000","0,8750"
"up_sample","embedded: rlr_l1","rf","genomic_epidemiological","0,6671","1,0000","0,6806","0,3705","0,6049","0,7778","0,7778","0,0000","0,0000","0,0000","0,7778","1,0000","0,8750"
"raw","embedded: rlr_l1","linear_svm","genomic_epidemiological","0,6669","1,0000","0,6222","0,3795","0,5833","0,6667","0,6667","0,0000","0,0000","0,0000","0,7500","0,8571","0,8000"
"up_sample","embedded: rlr_l1","linear_svm","genomic_epidemiological","0,6669","1,0000","0,6222","0,3795","0,5833","0,6667","0,6667","0,0000","0,0000","0,0000","0,7500","0,8571","0,8000"
"smote_sample","embedded: rlr_l1","linear_svm","genomic_epidemiological","0,6669","1,0000","0,6222","0,3750","0,5833","0,6667","0,6667","0,0000","0,0000","0,0000","0,7500","0,8571","0,8000"
"smote_sample","wrapper: rfe_lr","rf","genomic_epidemiological","0,6636","1,0000","0,6523","0,4040","0,5948","0,7222","0,7222","0,0000","0,0000","0,0000","0,7647","0,9286","0,8387"
"smote_sample","wrapper: rfe_lr","linear_svm","genomic_epidemiological","0,6539","1,0000","0,5900","0,3482","0,5704","0,6111","0,6111","0,0000","0,0000","0,0000","0,7333","0,7857","0,7586"
"down_sample","embedded: rlr_l1","rf","genomic_epidemiological","0,6386","0,9391","0,4398","0,2188","0,5194","0,3889","0,3889","0,0625","0,1250","0,0833","0,6500","0,4643","0,5417"
"down_sample","filter: anova","linear_svm","genomic_epidemiological","0,6382","1,0000","0,6667","0,3170","0,6000","0,7500","0,7500","0,0000","0,0000","0,0000","0,7714","0,9643","0,8571"
"down_sample","filter: anova","rf","genomic_epidemiological","0,6366","0,9002","0,5092","0,3929","0,5582","0,4722","0,4722","0,0769","0,1250","0,0952","0,6957","0,5714","0,6275"
"raw","wrapper: rfe_lr","linear_svm","genomic_epidemiological","0,6338","1,0000","0,5900","0,3438","0,5704","0,6111","0,6111","0,0000","0,0000","0,0000","0,7333","0,7857","0,7586"
"up_sample","wrapper: rfe_lr","linear_svm","genomic_epidemiological","0,6338","1,0000","0,5900","0,3438","0,5704","0,6111","0,6111","0,0000","0,0000","0,0000","0,7333","0,7857","0,7586"
"down_sample","wrapper: rfe_lr","rf","genomic_epidemiological","0,5982","0,7921","0,5418","0,3817","0,6543","0,5000","0,5000","0,2222","0,5000","0,3077","0,7778","0,5000","0,6087"
"down_sample","wrapper: rfe_lr","linear_svm","genomic_epidemiological","0,5775","0,9391","0,5720","0,3616","0,5906","0,5556","0,5556","0,1000","0,1250","0,1111","0,7308","0,6786","0,7037"
"up_sample","wrapper: rfe_lr","knn","genomic_epidemiological","0,5287","0,7646","0,5659","0,5134","0,6370","0,5278","0,5278","0,2000","0,3750","0,2609","0,7619","0,5714","0,6531"
"down_sample","wrapper: rfe_lr","knn","genomic_epidemiological","0,4881","0,4535","0,4931","0,5670","0,7693","0,4722","0,4722","0,2800","0,8750","0,4242","0,9091","0,3571","0,5128"
"smote_sample","embedded: rlr_l1","knn","genomic_epidemiological","0,3303","0,6280","0,3333","0,3571","0,6310","0,3333","0,3333","0,2143","0,7500","0,3333","0,7500","0,2143","0,3333"
"smote_sample","wrapper: rfe_lr","knn","genomic_epidemiological","0,2069","0,3741","0,2373","0,5156","0,8316","0,3056","0,3056","0,2424","1,0000","0,3902","1,0000","0,1071","0,1935"
"smote_sample","filter: anova","knn","genomic_epidemiological","0,0876","0,0876","0,0808","0,5000","0,0494","0,2222","0,2222","0,2222","1,0000","0,3636","0,0000","0,0000","0,0000"
