"sampling","fs","classifier","data","cv f1","train f1","test f1","test auc","test precision","test recall","test accuracy","test precision (1)","test recall (1)","test f1 (1)","test precision (0)","test recall (0)","test f1 (0)"
"raw","wrapper: rfe_lr","linear_svm","genomic_epidemiological","0,6977","1,0000","0,6667","0,5268","0,6000","0,7500","0,7500","0,0000","0,0000","0,0000","0,7714","0,9643","0,8571"
"up_sample","wrapper: rfe_lr","linear_svm","genomic_epidemiological","0,6977","1,0000","0,6667","0,5268","0,6000","0,7500","0,7500","0,0000","0,0000","0,0000","0,7714","0,9643","0,8571"
"smote_sample","wrapper: rfe_lr","linear_svm","genomic_epidemiological","0,6977","1,0000","0,6667","0,5268","0,6000","0,7500","0,7500","0,0000","0,0000","0,0000","0,7714","0,9643","0,8571"
"up_sample","filter: anova","rf","genomic_epidemiological","0,6827","1,0000","0,6806","0,5290","0,6049","0,7778","0,7778","0,0000","0,0000","0,0000","0,7778","1,0000","0,8750"
"smote_sample","embedded: rlr_l1","rf","genomic_epidemiological","0,6822","1,0000","0,6806","0,6272","0,6049","0,7778","0,7778","0,0000","0,0000","0,0000","0,7778","1,0000","0,8750"
"down_sample","embedded: rlr_l1","knn","genomic_epidemiological","0,6806","1,0000","0,7072","0,4710","0,6963","0,7222","0,7222","0,3333","0,2500","0,2857","0,8000","0,8571","0,8276"
"down_sample","wrapper: rfe_lr","knn","genomic_epidemiological","0,6771","0,6479","0,7034","0,5759","0,6869","0,7500","0,7500","0,3333","0,1250","0,1818","0,7879","0,9286","0,8525"
"smote_sample","wrapper: rfe_lr","rf","genomic_epidemiological","0,6745","1,0000","0,6806","0,5580","0,6049","0,7778","0,7778","0,0000","0,0000","0,0000","0,7778","1,0000","0,8750"
"raw","embedded: rlr_l1","linear_svm","genomic_epidemiological","0,6735","1,0000","0,6806","0,5402","0,6049","0,7778","0,7778","0,0000","0,0000","0,0000","0,7778","1,0000","0,8750"
"up_sample","embedded: rlr_l1","linear_svm","genomic_epidemiological","0,6735","1,0000","0,6806","0,5402","0,6049","0,7778","0,7778","0,0000","0,0000","0,0000","0,7778","1,0000","0,8750"
"smote_sample","embedded: rlr_l1","linear_svm","genomic_epidemiological","0,6735","1,0000","0,6806","0,5402","0,6049","0,7778","0,7778","0,0000","0,0000","0,0000","0,7778","1,0000","0,8750"
"up_sample","embedded: rlr_l1","rf","genomic_epidemiological","0,6735","1,0000","0,6806","0,4442","0,6049","0,7778","0,7778","0,0000","0,0000","0,0000","0,7778","1,0000","0,8750"
"up_sample","embedded: rlr_l1","knn","genomic_epidemiological","0,6697","0,9930","0,6790","0,5692","0,6949","0,6667","0,6667","0,3000","0,3750","0,3333","0,8077","0,7500","0,7778"
"raw","filter: anova","rf","genomic_epidemiological","0,6671","1,0000","0,6806","0,7813","0,6049","0,7778","0,7778","0,0000","0,0000","0,0000","0,7778","1,0000","0,8750"
"smote_sample","filter: anova","rf","genomic_epidemiological","0,6671","1,0000","0,6667","0,6138","0,6000","0,7500","0,7500","0,0000","0,0000","0,0000","0,7714","0,9643","0,8571"
"raw","filter: anova","knn","genomic_epidemiological","0,6671","0,9562","0,6806","0,5402","0,6049","0,7778","0,7778","0,0000","0,0000","0,0000","0,7778","1,0000","0,8750"
"raw","wrapper: rfe_lr","rf","genomic_epidemiological","0,6671","1,0000","0,6667","0,5379","0,6000","0,7500","0,7500","0,0000","0,0000","0,0000","0,7714","0,9643","0,8571"
"raw","wrapper: rfe_lr","knn","genomic_epidemiological","0,6671","0,6667","0,6806","0,5268","0,6049","0,7778","0,7778","0,0000","0,0000","0,0000","0,7778","1,0000","0,8750"
"raw","embedded: rlr_l1","rf","genomic_epidemiological","0,6671","1,0000","0,6806","0,5938","0,6049","0,7778","0,7778","0,0000","0,0000","0,0000","0,7778","1,0000","0,8750"
"raw","embedded: rlr_l1","knn","genomic_epidemiological","0,6671","0,9929","0,6806","0,5424","0,6049","0,7778","0,7778","0,0000","0,0000","0,0000","0,7778","1,0000","0,8750"
"down_sample","embedded: rlr_l1","rf","genomic_epidemiological","0,6652","0,8049","0,6170","0,5223","0,6889","0,5833","0,5833","0,2667","0,5000","0,3478","0,8095","0,6071","0,6939"
"raw","filter: anova","linear_svm","genomic_epidemiological","0,6636","1,0000","0,6806","0,6205","0,6049","0,7778","0,7778","0,0000","0,0000","0,0000","0,7778","1,0000","0,8750"
"up_sample","filter: anova","linear_svm","genomic_epidemiological","0,6636","1,0000","0,6806","0,6250","0,6049","0,7778","0,7778","0,0000","0,0000","0,0000","0,7778","1,0000","0,8750"
"smote_sample","filter: anova","linear_svm","genomic_epidemiological","0,6636","1,0000","0,6806","0,6205","0,6049","0,7778","0,7778","0,0000","0,0000","0,0000","0,7778","1,0000","0,8750"
"up_sample","filter: anova","knn","genomic_epidemiological","0,6636","1,0000","0,7693","0,5558","0,7845","0,8056","0,8056","0,6667","0,2500","0,3636","0,8182","0,9643","0,8852"
"up_sample","wrapper: rfe_lr","rf","genomic_epidemiological","0,6635","1,0000","0,6806","0,6116","0,6049","0,7778","0,7778","0,0000","0,0000","0,0000","0,7778","1,0000","0,8750"
"down_sample","filter: anova","knn","genomic_epidemiological","0,6599","1,0000","0,7407","0,6071","0,8444","0,8056","0,8056","1,0000","0,1250","0,2222","0,8000","1,0000","0,8889"
"down_sample","embedded: rlr_l1","linear_svm","genomic_epidemiological","0,6595","1,0000","0,7407","0,5179","0,8444","0,8056","0,8056","1,0000","0,1250","0,2222","0,8000","1,0000","0,8889"
"down_sample","filter: anova","linear_svm","genomic_epidemiological","0,6529","1,0000","0,7407","0,5714","0,8444","0,8056","0,8056","1,0000","0,1250","0,2222","0,8000","1,0000","0,8889"
"down_sample","wrapper: rfe_lr","linear_svm","genomic_epidemiological","0,6483","1,0000","0,6667","0,4866","0,6000","0,7500","0,7500","0,0000","0,0000","0,0000","0,7714","0,9643","0,8571"
"down_sample","filter: anova","rf","genomic_epidemiological","0,6168","0,9002","0,6255","0,4866","0,6427","0,6111","0,6111","0,2000","0,2500","0,2222","0,7692","0,7143","0,7407"
"up_sample","wrapper: rfe_lr","knn","genomic_epidemiological","0,6144","0,7511","0,7275","0,7924","0,7161","0,7500","0,7500","0,4000","0,2500","0,3077","0,8065","0,8929","0,8475"
"down_sample","wrapper: rfe_lr","rf","genomic_epidemiological","0,5554","0,9067","0,5608","0,3795","0,6091","0,5278","0,5278","0,1538","0,2500","0,1905","0,7391","0,6071","0,6667"
"smote_sample","wrapper: rfe_lr","knn","genomic_epidemiological","0,4885","0,5806","0,4398","0,5402","0,6897","0,4167","0,4167","0,2400","0,7500","0,3636","0,8182","0,3214","0,4615"
"smote_sample","embedded: rlr_l1","knn","genomic_epidemiological","0,2849","0,4738","0,0808","0,5313","0,0494","0,2222","0,2222","0,2222","1,0000","0,3636","0,0000","0,0000","0,0000"
"smote_sample","filter: anova","knn","genomic_epidemiological","0,0876","0,0876","0,0808","0,5000","0,0494","0,2222","0,2222","0,2222","1,0000","0,3636","0,0000","0,0000","0,0000"
