"sampling","fs","classifier","data","cv f1","train f1","test f1","test auc","test precision","test recall","test accuracy","test precision (1)","test recall (1)","test f1 (1)","test precision (0)","test recall (0)","test f1 (0)"
"down_sample","embedded: rlr_l1","rf","genomic_epidemiological","0,6985","0,9391","0,5829","0,4420","0,6204","0,5556","0,5556","0,1667","0,2500","0,2000","0,7500","0,6429","0,6923"
"up_sample","embedded: rlr_l1","knn","genomic_epidemiological","0,6953","1,0000","0,6852","0,5848","0,6632","0,7222","0,7222","0,2500","0,1250","0,1667","0,7813","0,8929","0,8333"
"down_sample","embedded: rlr_l1","knn","genomic_epidemiological","0,6936","1,0000","0,6667","0,5201","0,6667","0,6667","0,6667","0,2500","0,2500","0,2500","0,7857","0,7857","0,7857"
"raw","wrapper: rfe_lr","knn","genomic_epidemiological","0,6905","0,8756","0,7657","0,6451","0,7593","0,7778","0,7778","0,5000","0,3750","0,4286","0,8333","0,8929","0,8621"
"up_sample","wrapper: rfe_lr","rf","genomic_epidemiological","0,6879","1,0000","0,6806","0,7254","0,6049","0,7778","0,7778","0,0000","0,0000","0,0000","0,7778","1,0000","0,8750"
"up_sample","embedded: rlr_l1","rf","genomic_epidemiological","0,6818","1,0000","0,6806","0,5915","0,6049","0,7778","0,7778","0,0000","0,0000","0,0000","0,7778","1,0000","0,8750"
"smote_sample","embedded: rlr_l1","rf","genomic_epidemiological","0,6818","1,0000","0,6667","0,6518","0,6000","0,7500","0,7500","0,0000","0,0000","0,0000","0,7714","0,9643","0,8571"
"down_sample","embedded: rlr_l1","linear_svm","genomic_epidemiological","0,6798","1,0000","0,6375","0,5179","0,5892","0,6944","0,6944","0,0000","0,0000","0,0000","0,7576","0,8929","0,8197"
"raw","embedded: rlr_l1","knn","genomic_epidemiological","0,6781","1,0000","0,6667","0,4308","0,6000","0,7500","0,7500","0,0000","0,0000","0,0000","0,7714","0,9643","0,8571"
"raw","wrapper: rfe_lr","rf","genomic_epidemiological","0,6770","1,0000","0,7407","0,6585","0,8444","0,8056","0,8056","1,0000","0,1250","0,2222","0,8000","1,0000","0,8889"
"down_sample","wrapper: rfe_lr","linear_svm","genomic_epidemiological","0,6761","0,9589","0,6486","0,5402","0,6333","0,6667","0,6667","0,1667","0,1250","0,1429","0,7667","0,8214","0,7931"
"down_sample","filter: anova","linear_svm","genomic_epidemiological","0,6745","1,0000","0,6523","0,5268","0,5948","0,7222","0,7222","0,0000","0,0000","0,0000","0,7647","0,9286","0,8387"
"smote_sample","wrapper: rfe_lr","linear_svm","genomic_epidemiological","0,6712","1,0000","0,7034","0,5000","0,6869","0,7500","0,7500","0,3333","0,1250","0,1818","0,7879","0,9286","0,8525"
"up_sample","filter: anova","knn","genomic_epidemiological","0,6707","0,9715","0,6667","0,4643","0,6000","0,7500","0,7500","0,0000","0,0000","0,0000","0,7714","0,9643","0,8571"
"down_sample","wrapper: rfe_lr","rf","genomic_epidemiological","0,6674","0,8049","0,5608","0,5045","0,6091","0,5278","0,5278","0,1538","0,2500","0,1905","0,7391","0,6071","0,6667"
"raw","filter: anova","linear_svm","genomic_epidemiological","0,6671","1,0000","0,6667","0,5223","0,6000","0,7500","0,7500","0,0000","0,0000","0,0000","0,7714","0,9643","0,8571"
"up_sample","filter: anova","linear_svm","genomic_epidemiological","0,6671","1,0000","0,6667","0,5223","0,6000","0,7500","0,7500","0,0000","0,0000","0,0000","0,7714","0,9643","0,8571"
"smote_sample","filter: anova","linear_svm","genomic_epidemiological","0,6671","1,0000","0,6667","0,5223","0,6000","0,7500","0,7500","0,0000","0,0000","0,0000","0,7714","0,9643","0,8571"
"raw","filter: anova","rf","genomic_epidemiological","0,6671","1,0000","0,6806","0,5960","0,6049","0,7778","0,7778","0,0000","0,0000","0,0000","0,7778","1,0000","0,8750"
"up_sample","filter: anova","rf","genomic_epidemiological","0,6671","1,0000","0,6667","0,5089","0,6000","0,7500","0,7500","0,0000","0,0000","0,0000","0,7714","0,9643","0,8571"
"smote_sample","filter: anova","rf","genomic_epidemiological","0,6671","1,0000","0,6806","0,5759","0,6049","0,7778","0,7778","0,0000","0,0000","0,0000","0,7778","1,0000","0,8750"
"raw","filter: anova","knn","genomic_epidemiological","0,6671","0,9785","0,6667","0,4643","0,6000","0,7500","0,7500","0,0000","0,0000","0,0000","0,7714","0,9643","0,8571"
"down_sample","filter: anova","knn","genomic_epidemiological","0,6671","1,0000","0,7219","0,5045","0,7288","0,7778","0,7778","0,5000","0,1250","0,2000","0,7941","0,9643","0,8710"
"smote_sample","wrapper: rfe_lr","rf","genomic_epidemiological","0,6671","1,0000","0,6806","0,6183","0,6049","0,7778","0,7778","0,0000","0,0000","0,0000","0,7778","1,0000","0,8750"
"raw","embedded: rlr_l1","linear_svm","genomic_epidemiological","0,6671","1,0000","0,6523","0,5402","0,5948","0,7222","0,7222","0,0000","0,0000","0,0000","0,7647","0,9286","0,8387"
"up_sample","embedded: rlr_l1","linear_svm","genomic_epidemiological","0,6671","1,0000","0,6523","0,5402","0,5948","0,7222","0,7222","0,0000","0,0000","0,0000","0,7647","0,9286","0,8387"
"smote_sample","embedded: rlr_l1","linear_svm","genomic_epidemiological","0,6671","1,0000","0,6523","0,5402","0,5948","0,7222","0,7222","0,0000","0,0000","0,0000","0,7647","0,9286","0,8387"
"raw","embedded: rlr_l1","rf","genomic_epidemiological","0,6671","1,0000","0,6806","0,5491","0,6049","0,7778","0,7778","0,0000","0,0000","0,0000","0,7778","1,0000","0,8750"
"raw","wrapper: rfe_lr","linear_svm","genomic_epidemiological","0,6615","1,0000","0,6523","0,5089","0,5948","0,7222","0,7222","0,0000","0,0000","0,0000","0,7647","0,9286","0,8387"
"up_sample","wrapper: rfe_lr","linear_svm","genomic_epidemiological","0,6615","1,0000","0,7034","0,5045","0,6869","0,7500","0,7500","0,3333","0,1250","0,1818","0,7879","0,9286","0,8525"
"up_sample","wrapper: rfe_lr","knn","genomic_epidemiological","0,6510","0,8352","0,6170","0,6496","0,6889","0,5833","0,5833","0,2667","0,5000","0,3478","0,8095","0,6071","0,6939"
"down_sample","wrapper: rfe_lr","knn","genomic_epidemiological","0,6354","0,7358","0,5663","0,5335","0,6990","0,5278","0,5278","0,2632","0,6250","0,3704","0,8235","0,5000","0,6222"
"down_sample","filter: anova","rf","genomic_epidemiological","0,6303","0,8367","0,5167","0,4866","0,6123","0,4722","0,4722","0,1765","0,3750","0,2400","0,7368","0,5000","0,5957"
"smote_sample","wrapper: rfe_lr","knn","genomic_epidemiological","0,4571","0,6280","0,5333","0,6629","0,7273","0,5000","0,5000","0,2727","0,7500","0,4000","0,8571","0,4286","0,5714"
"smote_sample","embedded: rlr_l1","knn","genomic_epidemiological","0,4029","0,2930","0,1762","0,5692","0,5657","0,2500","0,2500","0,2121","0,8750","0,3415","0,6667","0,0714","0,1290"
"smote_sample","filter: anova","knn","genomic_epidemiological","0,0876","0,0876","0,0808","0,5000","0,0494","0,2222","0,2222","0,2222","1,0000","0,3636","0,0000","0,0000","0,0000"
